"mDA_D0_2"	"mDA_D0_3"	"mDA_D0_1"	"mDA_D28_3"	"mDA_D28_2"	"mDA_D28_1"	"mDA_D42_1"	"mDA_D42_2"	"mDA_D42_3"
101.543888482912	75.8416104944164	248.078930628189	30.1620986678379	22.5380925777441	21.6176807344408	101.648571496968	130.581185864884	119.007565722759
15.2315832724368	22.928858986684	2.50584778412312	108.994856549687	77.5310384674398	38.0471180926157	54.3909022922372	92.2229625170742	74.9747664053384
3.38479628276374	17.6375838359108	0	28.1055919404853	31.5533296088418	9.51177952315394	33.882857165656	31.0130316429099	42.2476858315796
605.87853461471	670.22818576461	977.280635808017	1404.93684590304	1013.31264229538	1086.0722800983	2285.3095504099	2035.43423466888	2052.28547088899
125.237462462258	116.408053317011	218.008757218712	429.124403774239	502.148702632139	464.347782175788	539.450752242681	448.056693998882	585.517223355976
177.701804845096	266.327515922253	400.935645459699	704.353554118259	679.748872144763	805.907137779952	603.649850030239	690.448020260573	611.698887814983
424.79193348685	373.916777321309	576.344990348318	510.699170625891	476.004515241956	325.129918245989	353.986691967511	397.45648447624	339.766600138478
3496.49456009494	3259.42549287631	4811.22774551639	4973.66152010222	5175.64757955316	5603.30284636705	3799.33827323316	3700.34435444614	3861.79550770354
280.938091469391	315.712750662803	385.900558754961	508.642663898539	576.07364628714	525.741995461599	407.48594012381	337.062686013731	423.07189614441
57.5415368069836	67.022818576461	102.739759149048	212.848446280992	184.812359137502	176.400274793037	65.090751923497	38.3582233478096	59.5037828613797
1617.93262316107	1742.59328298799	2465.75421957715	3437.79374589107	3045.34706910479	3112.08131853009	2768.58609208847	2734.85971145766	2859.75180431791
621.110117887147	670.22818576461	1067.49115603645	862.704572124408	730.23419951891	817.148331761861	489.518120630135	593.328263273566	565.880975011721
110.005879189822	93.4791943303272	75.1754335236936	1158.49878974195	692.3702039883	621.724497922516	1868.90706892671	1802.0203649354	1760.71693486823
998.514903415304	1019.45234571564	1448.38001922316	1456.00676296563	1290.08041915007	1488.1611417589	1767.25849742974	1646.13907430919	1680.38682800536
37.2327591104012	21.165100603093	15.0350867047387	1112.57013949775	1872.46473135898	1760.54391901286	288.895940044014	285.646344079433	342.146751452933
1.69239814138187	0	0	0	23.4396162808539	8.64707229377631	16.0497744468897	1.63226482331105	22.6114374873243
0	0	0	0	0	0.864707229377631	0.891654135938315	1.63226482331105	1.19007565722759
0	0	0	28.1055919404853	58.5990407021347	32.85887471635	24.9663158062728	44.0711502293983	19.0412105156415
5.07719442414561	12.3463086851376	2.50584778412312	2.39925784857801	9.91676073420742	7.78236506439868	15.1581203109514	4.89679446993314	1.19007565722759
698.960432390713	823.675165137034	972.268940239771	2835.92277701921	2878.56518402948	2952.11048109523	2515.35631748199	2729.96291698773	2728.84348202287
13.539185131055	17.6375838359108	15.0350867047387	63.7517085479301	75.7279910612203	64.8530422033223	262.146315965865	236.678399380102	284.428082077395
13.539185131055	17.6375838359108	0	14.3955470914681	30.651805905732	20.7529735050631	9.80819549532147	29.3807668195988	27.9667779448485
0	0	0	0	3.60609481243906	0	0	3.26452964662209	0
1.69239814138187	14.1100670687286	0	1410.07811272142	1796.73674029776	1710.39089970895	2202.38571576764	2607.5430552394	2445.01043777409
103.236286624294	77.6053688780075	20.046782272985	3579.34995895717	4590.55869623492	4995.41366411457	4864.86496567945	3993.33589023048	4015.91030531452
1.69239814138187	1.76375838359108	0	1.02825336367629	0	0	2.67496240781495	0	0
389.25157251783	428.593287212632	944.704614614417	65.4654641540572	152.35750582555	171.212031416771	120.373308351673	158.329687861172	163.04036504018
1397.92086478143	1553.87113594374	1899.43262036533	1211.6252135319	1900.41196615539	1557.33772010911	2550.13082878358	2219.88015970302	2249.83802998877
6.76959256552748	7.05503353436432	2.50584778412312	0	0	0	0	0	0
573.722969928454	557.347649214781	491.146165688132	1351.46767099187	1380.23278946105	1357.59035012288	2084.68736982378	2177.44127429694	2156.4170908964
463.717090738633	414.483220143904	523.722186881732	866.132083336663	693.27172769141	702.142270254636	740.072932828802	671.676974792496	769.978950226253
57.5415368069836	44.093959589777	97.7280635808017	66.8364686389589	26.1441873901832	33.7235819457276	98.0819549532147	97.1197569870073	114.247263093849
0	0	0	0	0	0	0	0	0
1568.85307706099	1559.16241109451	2012.19577065087	2608.33603252553	2699.16196711064	2677.99828938252	2502.87315957885	2540.62019748364	2434.89479468766
35.5403609690193	19.4013422195019	15.0350867047387	11.3107870004392	12.6213318435367	12.9706084406645	22.2913533984579	26.1162371729768	13.6858700581173
62.6187312311292	45.8577179733681	122.786541422033	6.16952018205775	15.325902952866	25.9412168813289	14.266466175013	11.4258537631773	7.14045394336556
2217.04156521025	2345.79865017614	4758.60494204981	3081.33257981662	3215.73504899253	3284.15805717624	3119.00616751223	3526.50815076352	3417.30224972904
1094.98159747407	1075.89261399056	1378.21628126772	1903.98247840727	1476.6958256938	1420.71397786745	2253.21000151612	1894.24332745247	2078.46713534799
321.555646862555	432.120803979814	601.403468189549	451.403226653892	467.890801913968	338.100526686654	477.034962726999	531.302199987746	512.327570436479
1174.52431011902	1114.69529842956	1543.60223501984	489.105849988689	540.012698162749	507.583143644669	767.714211042889	631.686486621375	774.14421502655
11.8467869896731	14.1100670687286	57.6344990348318	4.11301345470516	3.60609481243906	3.45882891751052	1.78330827187663	3.26452964662209	0
